,order_id,supply_id,supply_name,date,supply_order,status,total_price,discount_perc,coin,total_price_ILS,details
14,PO24000018,40002,SYMPHONY GLOBAL TEXTIL EUR,2024-04-18,866.792,שוחרר,6298.12,0,EUR,25289.47,102237
15,PO24000019,3100002,AMRA EXPORTS,2024-04-21,102184,שוחרר,17459.12,0,USD,66047.85,"800 ק""ג"
16,PO24000020,3100412,M/S FAIZAN TANNING INDUSTRIES,2024-04-21,102198,שוחרר,18863.49,0,USD,71360.58,"1376.5 ק""ג"
17,PO24000021,3100481,NEWPACK PLASTICS,2024-04-21,"2010 ק""ג",שוחרר,4464,0,USD,16887.31,102202
18,PO24000022,3100412,M/S FAIZAN TANNING INDUSTRIES,2024-04-21,"955 ק""ג",שוחרר,11294.34,0,USD,42726.49,102214
19,PO24000023,3100019,DANISH LEATHER,2024-04-21,"1356 ק""ג",שוחרר,21413.33,0,USD,81006.63,102231
20,PO24000026,3100059,TEXTIL ANTILO S.L,2024-04-24,102238,שוחרר,2534.45,0,EUR,10208.26,"265 ק""ג  22"
21,PO24000028,3100015,CONCERIA TRUST,2024-04-24,"667 ק""ג",שוחרר,11411.49,0,EUR,45853.65,102241
22,PO24000029,3100450,BEST BRASIL INDUSTRIAL DE COUROS,2024-04-25,"319 ק""ג",שוחרר,7201.92,0,USD,27324.08,102242
23,PO24000032,3100454,BRU TEXTILES NV,2024-05-05,"352 ק""ג",שוחרר,4248.6,0,EUR,16969.33,102244
24,PO24000033,3100405,DICKSON CONSTANT,2024-05-05,"681.99 ק""ג 3 הזמ",שוחרר,490.5,0,EUR,1959.11,102245 3 הזמנות
25,PO24000034,3100405,DICKSON CONSTANT,2024-05-05,"681.99 ק""ג 3 הזמ",שוחרר,7001.16,0,EUR,27963.33,102245 3 הזמנות
26,PO24000035,3100405,DICKSON CONSTANT,2024-05-05,"681.99 ק""ג 3 הזמ",שוחרר,11267.15,0,EUR,45002.12,102245 3 הזמנות
27,PO24000037,3100025,FROCA S.L,2024-05-06,102240,שוחרר,16878.64,0,EUR,67873.44,"2386.50 ק""ג"
28,PO24000038,3100029,GRUPPO MASTROTTO EXPRESS,2024-04-01,102224,שוחרר,7855.92,0,EUR,31032.46,"290 ק""ג"
