PARTNAME,PDES,TQUANT,TUNITNAME,PRICE,VPRICE,PURCHASEPRICE,ICODE,DUEDATE,CLOSEDBOOL,TBALANCE,PACKBALANCE,TAXSUM,PACKED,PACKPACKED,PERCENT,DISPRICE,QPRICE,VATPRICE,QPROFIT,QPROFITPERCENT,PRICEBAL,CODE,PRSOURCENAME,PURSOURCENAME,NUMPACK,PACKCODE,MODELNAME,PLANHOURSD,PLANHOURSSUM,REVNAME,VATFLAGA,COMMISSION,COMMISSION2,BARCODE,SERIALNAME,CUSTPARTNAME,CUSTPARTBARCODE,YOURORDLINE,QUANT,ABALANCE,PBALANCE,UNITNAME,UNSPSCCODE,UNSPSCDES,CLUSTNAME,MRP,ATP,PDATE,PRDATE,CASHFLOWDATE,DCODE,CODEDES,BUDCODE,COSTCNAME,EXCH,PBONUSFLAG,ORDISTATUSDES,COPYFAVSUPFLAG,SUPNAME,OBFLAG,PREPAYED,PAYCUSTNAME,PARTTREEFLAG,PURTAXPERCENT,PAYCUSTDES,LCODE,LEXCH,PROJCOSTFLAG,MPARTNAME,MPARTDES,MMPARTNAME,REMARK1,REMARK2,KITNUM,QRANKCODE,QRANKDES,DCMONTHS,MINEXPDAYS,WARHSREMARK,DEALNAME,DLINE,CHARGEPULSES,DS,RRMETHODNAME,RRMETHODDES,RRTIMINGNAME,RRTIMINGDES,FROMDATE,TODATE,AFLAG,SOF_EXTFILENAME,Y_4060_5_ESH,ORDI,KLINE,ORDNAME
20001101,בד קווארץ מס' 101 אפור עכבר,1.0,מטר,49.0,57.33,0.0,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,49.0,49.0,57.33,49.0,0.0,49.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20001101,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20001101,,,0,,,0,0,,,0,,,,,,,,,,,QUARTZ NO 101 GREY MAUSE,5122,1,1003653
20001909,בד קווארץ מס' 909 שמנת,1.0,מטר,49.0,57.33,13.48,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,49.0,49.0,57.33,35.52,263.5,49.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20001909,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20001909,,,0,,,0,0,,,0,,,,,,,,,,,QUARTZ NO 909 CREAM,5123,2,1003653
20001906,בד קווארץ מס' 906 טאופ בהיר,1.0,מטר,49.0,57.33,13.48,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,49.0,49.0,57.33,35.52,263.5,49.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20001906,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20001906,,,0,,,0,0,,,0,,,,,,,,,,,QUARTZ NO 906 LIGHT TAUPE,5124,3,1003653
10000000,עור-בטנה חזיר שחור,297.75,SQF,5.5,6.44,4.59,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,5.5,1637.63,1916.03,270.96,19.83,0.0,"ש""ח",ידני,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,10000000,,,,0,297.75,0.0,297.75,SQF,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,10000000,,,0,,,0,0,,,0,,,,,,,,,,,LEATHERS,5121,1,1003652
20050003,בד טראזור מס' 3 טאופ בהיר,2.0,מטר,85.0,99.45,0.0,"ש""ח",2024-05-22T00:00:00Z,,2.0,0,0.0,0,0,0.0,85.0,170.0,198.9,170.0,0.0,170.0,"ש""ח",מחירון לקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20050003,,,,0,2.0,2.0,2.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20050003,,,0,,,0,0,,,0,,,,,,,,,,,TREZOR NO 3 SPOMGE,5120,1,1003651
20009903,בד סוהו מס' 903 אבן,5.0,מטר,45.0,52.65,12.52,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,45.0,225.0,263.25,162.4,259.42,0.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20009903,,,,0,5.0,0.0,5.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20009903,,,0,,,0,0,,,0,,,,,,,,,,,SOHO NO 903 STONE,5119,1,1003650
20042003,בד מיורקה מס' 3 בז בהיר,16.4,מטר,50.0,58.5,11.02,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,50.0,820.0,959.4,639.27,353.72,0.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20042003,,,,0,16.4,0.0,16.4,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20042003,,,0,,,0,0,,,0,,,,,,,,,,,MAIORCA NO 3 beige bright,5116,1,1003649
20042003,בד מיורקה מס' 3 בז בהיר,1.1,מטר,50.0,58.5,11.02,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,50.0,55.0,64.35,42.88,353.74,0.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20042003,,,,0,1.1,0.0,1.1,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20042003,,,0,,,0,0,,,0,,,,,,,,,,,MAIORCA NO 3 beige bright,5117,2,1003649
20042006,בד מיורקה מס' 6 ורוד עתיק,1.1,מטר,50.0,58.5,0.0,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,50.0,55.0,64.35,55.0,0.0,0.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20042006,,,,0,1.1,0.0,1.1,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20042006,,,0,,,0,0,,,0,,,,,,,,,,,MAIORCA NO 6,5118,3,1003649
20022140,בד טריבו מס' 140 אבן,1.2,מטר,136.75,160.0,0.0,"ש""ח",2024-05-22T00:00:00Z,,1.2,0,0.0,0,0,0.0,136.75,164.1,192.0,164.1,0.0,164.1,"ש""ח",ידני,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20022140,,,,0,1.2,1.2,1.2,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20022140,,,0,,,0,0,,,0,,,,,,,,,,,TRIBO NO 140 stone,5114,1,1003646
